date,days,world_eu_price,world_eu_ndtr_l1,world_eu_gdtr_l1,world_eu_ndtr_l2,world_eu_gdtr_l2
1975-01-01,365,100,100,100,100,100
1975-01-02,365,100.766,100.772107169357,100.774320592088,101.52126,101.52512
1975-01-03,365,100.964,100.974867948369,100.978469771181,101.90779,101.91428
1975-01-04,365,100.957,100.971439626019,100.975688447215,101.87877,101.88691
1975-01-05,365,100.897,100.914382546901,100.919505703105,101.74275,101.75258
1975-01-06,365,100.882,100.902138538506,100.907824142448,101.69689,101.70836
1975-01-07,365,100.434,100.459150314793,100.466706161467,100.78544,100.80003
1975-01-08,365,99.876,99.9081699370413,99.9171165458181,99.66041,99.67821
1975-01-09,365,101.353,101.392388634622,101.40345607316,102.59887,102.62122
1975-01-10,365,102.62,102.666500148152,102.680083773478,105.15393,105.18092
1975-01-11,365,102.798,102.849425633566,102.864207420016,105.50411,105.53375
1975-01-12,365,102.914,102.969172035664,102.984916880133,105.72561,105.7575
1975-01-13,365,102.9,102.958152428109,102.97462598146,105.67823,105.71181
1975-01-14,365,102.738,102.799714959485,102.81748117739,105.32826,105.3639
1975-01-15,365,103.355,103.423669627268,103.443557202099,106.5823,106.62236
1975-01-16,365,103.213,103.285067452242,103.305881665791,106.27144,106.31349
1975-01-17,365,102.705,102.783307988236,102.805521484337,105.21426,105.25936
1975-01-18,365,102.553,102.634665726327,102.657833181751,104.88576,104.93285
1975-01-19,365,102.515,102.599647862319,102.623622896971,104.79025,104.839
1975-01-20,365,102.555,102.642501891699,102.667567815632,104.85422,104.90479
1975-01-21,365,101.82,101.913248751723,101.939695333773,103.33958,103.39308
1975-01-22,365,102.209,102.308730222865,102.33714652849,104.11725,104.17467
1975-01-23,365,102.358,102.462025207964,102.491510008594,104.40484,104.46478
1975-01-24,365,103.907,104.01995283608,104.052110885824,107.55534,107.6213
1975-01-25,365,104.89,105.010737995362,105.045321674023,109.5791,109.65051
1975-01-26,365,105.714,105.843575446355,105.880275128567,111.29105,111.36782
1975-01-27,365,106.681,106.818443394725,106.857632370161,113.31486,113.39739
1975-01-28,365,107.641,107.786699578561,107.828314434237,115.34264,115.43108
1975-01-29,365,110.93,111.087684241716,111.132805438045,122.38044,122.47886
1975-01-30,365,110.035,110.198769232276,110.245563092943,120.39409,120.49526
1975-01-31,365,110.791,110.963285116428,111.012652242721,122.03805,122.14523
1975-02-01,365,110.93,111.106295134476,111.156724824151,122.32582,122.43586
